"zvit_date","registration_area","is_medical","medical_comsum","medical_percent","medical_total","percent_total"
2020-04-01,"Тернопільська",0,35,31.8181818181818,2709,7.64131783820377
2020-04-01,"Херсонська",1,1,25,366,1.89323401613904
2020-04-01,"Хмельницька",2,3,37.5,3262,7.8336255133162
2020-04-01,"Чернівецька",5,16,11.1888111888112,2072,4.93145468392993
2020-04-02,"Вінницька",1,25,40.9836065573771,1991,8.27136388184953
2020-04-02,"Дніпропетровська",0,0,0,1162,1.8564672801636
2020-04-02,"Донецька",1,1,12.5,1597,4.00040079156334
2020-04-02,"Закарпатська",0,1,4.16666666666667,2249,7.68494788997096
2020-04-02,"Запорізька",0,2,7.14285714285714,3540,5.94298761038176
2020-04-02,"Івано-Франківська",2,18,18.5567010309278,2079,4.65986775748067
2020-04-02,"Київська",0,1,1.40845070422535,4369,6.79851861073074
2020-04-02,"Кіровоградська",2,3,20,856,9.42419905317626
2020-04-02,"Львівська",1,2,15.3846153846154,2628,4.00817496873379
2020-04-02,"м. Київ",1,7,3.04347826086957,5357,4.48690029482712
2020-04-02,"Одеська",0,0,0,2512,3.27070557139695
2020-04-02,"Рівненська",1,3,10.3448275862069,2652,6.14201676779842
2020-04-02,"Сумська",0,1,3.33333333333333,2309,5.3411982419616
2020-04-02,"Тернопільська",0,35,30.7017543859649,2709,7.64131783820377
2020-04-02,"Хмельницька",0,3,27.2727272727273,3262,7.8336255133162
2020-04-02,"Черкаська",0,7,12.7272727272727,3235,7.596749953034
2020-04-02,"Чернівецька",7,23,13.4502923976608,2072,4.93145468392993
2020-04-03,"Вінницька",2,27,40.9090909090909,1991,8.27136388184953
2020-04-03,"Волинська",4,13,76.4705882352941,2481,7.18401621543362
2020-04-03,"Дніпропетровська",0,0,0,1162,1.8564672801636
2020-04-03,"Донецька",0,1,11.1111111111111,1597,4.00040079156334
2020-04-03,"Житомирська",0,0,0,1850,4.43996448028416
2020-04-03,"Закарпатська",0,1,3.7037037037037,2249,7.68494788997096
2020-04-03,"Запорізька",0,2,6.25,3540,5.94298761038176
2020-04-03,"Івано-Франківська",2,20,19.6078431372549,2079,4.65986775748067
2020-04-03,"Київська",0,1,1.36986301369863,4369,6.79851861073074
2020-04-03,"Львівська",1,3,20,2628,4.00817496873379
2020-04-03,"м. Київ",2,9,3.35820895522388,5357,4.48690029482712
2020-04-03,"Одеська",0,0,0,2512,3.27070557139695
2020-04-03,"Полтавська",0,0,0,1482,3.72212176009644
2020-04-03,"Рівненська",2,5,14.2857142857143,2652,6.14201676779842
2020-04-03,"Сумська",0,1,2.7027027027027,2309,5.3411982419616
2020-04-03,"Тернопільська",9,44,32.5925925925926,2709,7.64131783820377
2020-04-03,"Харківська",0,0,0,1166,1.58721515885764
2020-04-03,"Херсонська",0,1,12.5,366,1.89323401613904
2020-04-03,"Черкаська",0,7,12.280701754386,3235,7.596749953034
2020-04-03,"Чернівецька",4,27,13.3663366336634,2072,4.93145468392993
2020-04-03,"Чернігівська",0,0,0,892,2.82019665496854
2020-04-04,"Вінницька",2,29,39.1891891891892,1991,8.27136388184953
2020-04-04,"Волинська",0,13,68.4210526315789,2481,7.18401621543362
2020-04-04,"Житомирська",0,0,0,1850,4.43996448028416
2020-04-04,"Закарпатська",0,1,3.57142857142857,2249,7.68494788997096
2020-04-04,"Запорізька",0,2,5,3540,5.94298761038176
2020-04-04,"Івано-Франківська",2,22,18.8034188034188,2079,4.65986775748067
2020-04-04,"Київська",1,2,2.40963855421687,4369,6.79851861073074
2020-04-04,"Кіровоградська",10,13,35.1351351351351,856,9.42419905317626
2020-04-04,"Львівська",1,4,20,2628,4.00817496873379
2020-04-04,"м. Київ",3,12,4.12371134020619,5357,4.48690029482712
2020-04-04,"Полтавська",0,0,0,1482,3.72212176009644
2020-04-04,"Рівненська",0,5,11.6279069767442,2652,6.14201676779842
2020-04-04,"Сумська",0,1,2.04081632653061,2309,5.3411982419616
2020-04-04,"Тернопільська",0,44,27.5,2709,7.64131783820377
2020-04-04,"Херсонська",0,1,10,366,1.89323401613904
2020-04-04,"Черкаська",0,7,11.4754098360656,3235,7.596749953034
2020-04-04,"Чернівецька",6,33,15,2072,4.93145468392993
2020-04-05,"Волинська",3,16,61.5384615384615,2481,7.18401621543362
2020-04-05,"Закарпатська",0,1,2.85714285714286,2249,7.68494788997096
2020-04-05,"Запорізька",0,2,4.8780487804878,3540,5.94298761038176
2020-04-05,"Івано-Франківська",3,25,16.3398692810458,2079,4.65986775748067
2020-04-05,"Київська",0,2,2.1505376344086,4369,6.79851861073074
2020-04-05,"Кіровоградська",1,14,34.1463414634146,856,9.42419905317626
2020-04-05,"Львівська",1,5,18.5185185185185,2628,4.00817496873379
2020-04-05,"м. Київ",3,15,4.82315112540193,5357,4.48690029482712
2020-04-05,"Одеська",0,0,0,2512,3.27070557139695
2020-04-05,"Полтавська",0,0,0,1482,3.72212176009644
2020-04-05,"Рівненська",1,6,13.6363636363636,2652,6.14201676779842
2020-04-05,"Сумська",0,1,1.96078431372549,2309,5.3411982419616
2020-04-05,"Черкаська",0,7,10.9375,3235,7.596749953034
2020-04-06,"Вінницька",2,31,38.75,1991,8.27136388184953
2020-04-06,"Волинська",4,20,58.8235294117647,2481,7.18401621543362
2020-04-06,"Дніпропетровська",0,0,0,1162,1.8564672801636
2020-04-06,"Житомирська",1,1,7.14285714285714,1850,4.43996448028416
2020-04-06,"Закарпатська",3,4,9.75609756097561,2249,7.68494788997096
2020-04-06,"Запорізька",0,2,4.54545454545455,3540,5.94298761038176
2020-04-06,"Івано-Франківська",4,29,14.7959183673469,2079,4.65986775748067
2020-04-06,"Київська",1,3,3.03030303030303,4369,6.79851861073074
2020-04-06,"Кіровоградська",9,23,43.3962264150943,856,9.42419905317626
2020-04-06,"Львівська",1,6,21.4285714285714,2628,4.00817496873379
2020-04-06,"м. Київ",3,18,5.5045871559633,5357,4.48690029482712
2020-04-06,"Одеська",0,0,0,2512,3.27070557139695
2020-04-06,"Рівненська",3,9,18.75,2652,6.14201676779842
2020-04-06,"Сумська",1,2,3.57142857142857,2309,5.3411982419616
2020-04-06,"Тернопільська",1,45,26.7857142857143,2709,7.64131783820377
2020-04-06,"Харківська",0,0,0,1166,1.58721515885764
2020-04-06,"Херсонська",0,1,7.69230769230769,366,1.89323401613904
2020-04-06,"Хмельницька",0,3,25,3262,7.8336255133162
2020-04-06,"Черкаська",3,10,12.8205128205128,3235,7.596749953034
2020-04-06,"Чернівецька",7,40,16.1290322580645,2072,4.93145468392993
2020-04-07,"Вінницька",3,34,38.6363636363636,1991,8.27136388184953
2020-04-07,"Волинська",0,20,55.5555555555556,2481,7.18401621543362
2020-04-07,"Дніпропетровська",0,0,0,1162,1.8564672801636
2020-04-07,"Донецька",1,2,18.1818181818182,1597,4.00040079156334
2020-04-07,"Житомирська",0,1,3.7037037037037,1850,4.43996448028416
2020-04-07,"Закарпатська",0,4,9.30232558139535,2249,7.68494788997096
2020-04-07,"Запорізька",0,2,4.44444444444444,3540,5.94298761038176
2020-04-07,"Івано-Франківська",6,35,16.5876777251185,2079,4.65986775748067
2020-04-07,"Київська",4,7,5.69105691056911,4369,6.79851861073074
2020-04-07,"Кіровоградська",1,24,42.1052631578947,856,9.42419905317626
2020-04-07,"Львівська",1,7,20,2628,4.00817496873379
2020-04-07,"м. Київ",1,19,5.47550432276657,5357,4.48690029482712
2020-04-07,"Одеська",0,0,0,2512,3.27070557139695
2020-04-07,"Полтавська",0,0,0,1482,3.72212176009644
2020-04-07,"Рівненська",6,15,25.8620689655172,2652,6.14201676779842
2020-04-07,"Херсонська",2,3,20,366,1.89323401613904
2020-04-07,"Хмельницька",0,3,20,3262,7.8336255133162
2020-04-07,"Черкаська",0,10,12.3456790123457,3235,7.596749953034
2020-04-07,"Чернівецька",14,54,19.7080291970803,2072,4.93145468392993
2020-04-07,"Чернігівська",0,0,0,892,2.82019665496854
2020-04-08,"Вінницька",1,35,34.3137254901961,1991,8.27136388184953
2020-04-08,"Волинська",1,21,53.8461538461538,2481,7.18401621543362
2020-04-08,"Дніпропетровська",0,0,0,1162,1.8564672801636
2020-04-08,"Житомирська",0,1,3.2258064516129,1850,4.43996448028416
2020-04-08,"Закарпатська",1,5,9.80392156862745,2249,7.68494788997096
2020-04-08,"Запорізька",1,3,5.66037735849057,3540,5.94298761038176
2020-04-08,"Івано-Франківська",11,46,16.6064981949458,2079,4.65986775748067
2020-04-08,"Київська",2,9,6.71641791044776,4369,6.79851861073074
2020-04-08,"Кіровоградська",7,31,39.7435897435897,856,9.42419905317626
2020-04-08,"Львівська",10,17,26.984126984127,2628,4.00817496873379
2020-04-08,"м. Київ",6,25,6.11246943765281,5357,4.48690029482712
2020-04-08,"Одеська",3,3,6.97674418604651,2512,3.27070557139695
2020-04-08,"Полтавська",2,2,10.5263157894737,1482,3.72212176009644
2020-04-08,"Рівненська",1,16,22.8571428571429,2652,6.14201676779842
2020-04-08,"Сумська",1,3,5.26315789473684,2309,5.3411982419616
2020-04-08,"Тернопільська",0,45,26.6272189349112,2709,7.64131783820377
2020-04-08,"Херсонська",2,5,27.7777777777778,366,1.89323401613904
2020-04-08,"Чернівецька",14,68,22.4422442244224,2072,4.93145468392993
2020-04-08,"Чернігівська",0,0,0,892,2.82019665496854
2020-04-09,"Вінницька",7,42,35.2941176470588,1991,8.27136388184953
2020-04-09,"Волинська",1,22,53.6585365853659,2481,7.18401621543362
2020-04-09,"Дніпропетровська",1,1,1.88679245283019,1162,1.8564672801636
2020-04-09,"Житомирська",0,1,2.4390243902439,1850,4.43996448028416
2020-04-09,"Закарпатська",1,6,10.7142857142857,2249,7.68494788997096
2020-04-09,"Запорізька",0,3,5.55555555555556,3540,5.94298761038176
2020-04-09,"Івано-Франківська",2,48,16.8421052631579,2079,4.65986775748067
2020-04-09,"Київська",1,10,6.94444444444444,4369,6.79851861073074
2020-04-09,"Кіровоградська",1,32,39.0243902439024,856,9.42419905317626
2020-04-09,"Львівська",2,19,23.1707317073171,2628,4.00817496873379
2020-04-09,"м. Київ",3,28,6.4367816091954,5357,4.48690029482712
2020-04-09,"Одеська",1,4,8,2512,3.27070557139695
2020-04-09,"Полтавська",0,2,10,1482,3.72212176009644
2020-04-09,"Рівненська",3,19,21.3483146067416,2652,6.14201676779842
2020-04-09,"Сумська",2,5,7.57575757575758,2309,5.3411982419616
2020-04-09,"Тернопільська",2,47,23.9795918367347,2709,7.64131783820377
2020-04-09,"Харківська",0,0,0,1166,1.58721515885764
2020-04-09,"Херсонська",7,12,44.4444444444444,366,1.89323401613904
2020-04-09,"Хмельницька",0,3,18.75,3262,7.8336255133162
2020-04-09,"Черкаська",3,13,14.7727272727273,3235,7.596749953034
2020-04-09,"Чернівецька",15,83,22.6775956284153,2072,4.93145468392993
2020-04-10,"Вінницька",9,51,33.5526315789474,1991,8.27136388184953
2020-04-10,"Волинська",3,25,43.859649122807,2481,7.18401621543362
2020-04-10,"Дніпропетровська",1,2,3.57142857142857,1162,1.8564672801636
2020-04-10,"Житомирська",5,6,8.10810810810811,1850,4.43996448028416
2020-04-10,"Закарпатська",6,12,15.1898734177215,2249,7.68494788997096
2020-04-10,"Запорізька",5,8,9.52380952380952,3540,5.94298761038176
2020-04-10,"Івано-Франківська",11,59,18.4375,2079,4.65986775748067
2020-04-10,"Київська",4,14,8.9171974522293,4369,6.79851861073074
2020-04-10,"Кіровоградська",10,42,39.622641509434,856,9.42419905317626
2020-04-10,"Львівська",2,21,21.6494845360825,2628,4.00817496873379
2020-04-10,"Миколаївська",0,0,0,1397,4.01794702177227
2020-04-10,"м. Київ",10,38,7.46561886051081,5357,4.48690029482712
2020-04-10,"Одеська",0,4,7.54716981132075,2512,3.27070557139695
2020-04-10,"Полтавська",0,2,8.33333333333333,1482,3.72212176009644
2020-04-10,"Рівненська",5,24,20.5128205128205,2652,6.14201676779842
2020-04-10,"Сумська",0,5,7.2463768115942,2309,5.3411982419616
2020-04-10,"Тернопільська",1,48,23.0769230769231,2709,7.64131783820377
2020-04-10,"Харківська",0,0,0,1166,1.58721515885764
2020-04-10,"Херсонська",0,12,42.8571428571429,366,1.89323401613904
2020-04-10,"Хмельницька",1,4,22.2222222222222,3262,7.8336255133162
2020-04-10,"Черкаська",1,14,14.5833333333333,3235,7.596749953034
2020-04-10,"Чернівецька",13,96,23.5294117647059,2072,4.93145468392993
2020-04-11,"Вінницька",31,82,42.2680412371134,1991,8.27136388184953
2020-04-11,"Волинська",7,32,47.7611940298507,2481,7.18401621543362
2020-04-11,"Дніпропетровська",0,2,3.38983050847458,1162,1.8564672801636
2020-04-11,"Житомирська",4,10,10.6382978723404,1850,4.43996448028416
2020-04-11,"Закарпатська",2,14,16.0919540229885,2249,7.68494788997096
2020-04-11,"Івано-Франківська",23,82,23.0337078651685,2079,4.65986775748067
2020-04-11,"Київська",9,23,10.1769911504425,4369,6.79851861073074
2020-04-11,"Кіровоградська",2,44,37.2881355932203,856,9.42419905317626
2020-04-11,"Львівська",0,21,18.9189189189189,2628,4.00817496873379
2020-04-11,"Миколаївська",0,0,0,1397,4.01794702177227
2020-04-11,"м. Київ",8,46,8.5981308411215,5357,4.48690029482712
2020-04-11,"Одеська",1,5,7.35294117647059,2512,3.27070557139695
2020-04-11,"Полтавська",0,2,8,1482,3.72212176009644
2020-04-11,"Рівненська",1,25,20,2652,6.14201676779842
2020-04-11,"Сумська",0,5,6.84931506849315,2309,5.3411982419616
2020-04-11,"Тернопільська",7,55,22.6337448559671,2709,7.64131783820377
2020-04-11,"Харківська",1,1,9.09090909090909,1166,1.58721515885764
2020-04-11,"Херсонська",0,12,38.7096774193548,366,1.89323401613904
2020-04-11,"Черкаська",3,17,16.8316831683168,3235,7.596749953034
2020-04-11,"Чернівецька",7,103,23.8425925925926,2072,4.93145468392993
2020-04-12,"Волинська",2,34,45.9459459459459,2481,7.18401621543362
2020-04-12,"Дніпропетровська",0,2,3.27868852459016,1162,1.8564672801636
2020-04-12,"Закарпатська",1,15,16.1290322580645,2249,7.68494788997096
2020-04-12,"Запорізька",1,9,10.2272727272727,3540,5.94298761038176
2020-04-12,"Івано-Франківська",0,82,22.7777777777778,2079,4.65986775748067
2020-04-12,"Київська",2,25,10.8225108225108,4369,6.79851861073074
2020-04-12,"Кіровоградська",12,56,39.7163120567376,856,9.42419905317626
2020-04-12,"Львівська",5,26,21.1382113821138,2628,4.00817496873379
2020-04-12,"м. Київ",0,46,7.65391014975042,5357,4.48690029482712
2020-04-12,"Одеська",0,5,7.14285714285714,2512,3.27070557139695
2020-04-12,"Рівненська",2,27,20.7692307692308,2652,6.14201676779842
2020-04-12,"Сумська",0,5,6.75675675675676,2309,5.3411982419616
2020-04-12,"Тернопільська",12,67,24.5421245421245,2709,7.64131783820377
2020-04-12,"Хмельницька",2,6,28.5714285714286,3262,7.8336255133162
2020-04-12,"Черкаська",1,18,17.3076923076923,3235,7.596749953034
2020-04-12,"Чернівецька",8,111,23.9740820734341,2072,4.93145468392993
2020-04-13,"Вінницька",8,90,42.4528301886792,1991,8.27136388184953
2020-04-13,"Волинська",1,35,44.3037974683544,2481,7.18401621543362
2020-04-13,"Дніпропетровська",0,2,2.7027027027027,1162,1.8564672801636
2020-04-13,"Донецька",0,2,16.6666666666667,1597,4.00040079156334
2020-04-13,"Житомирська",4,14,12.5,1850,4.43996448028416
2020-04-13,"Закарпатська",0,15,15,2249,7.68494788997096
2020-04-13,"Запорізька",4,13,13.5416666666667,3540,5.94298761038176
2020-04-13,"Івано-Франківська",6,88,23.1578947368421,2079,4.65986775748067
2020-04-13,"Київська",1,26,10.7883817427386,4369,6.79851861073074
2020-04-13,"Кіровоградська",0,56,38.8888888888889,856,9.42419905317626
2020-04-13,"Львівська",4,30,22.0588235294118,2628,4.00817496873379
2020-04-13,"Миколаївська",0,0,0,1397,4.01794702177227
2020-04-13,"м. Київ",0,46,7.38362760834671,5357,4.48690029482712
2020-04-13,"Полтавська",0,2,7.69230769230769,1482,3.72212176009644
2020-04-13,"Рівненська",7,34,22.5165562913907,2652,6.14201676779842
2020-04-13,"Тернопільська",1,68,24.2857142857143,2709,7.64131783820377
2020-04-13,"Харківська",0,1,7.14285714285714,1166,1.58721515885764
2020-04-13,"Херсонська",0,12,35.2941176470588,366,1.89323401613904
2020-04-13,"Хмельницька",0,6,27.2727272727273,3262,7.8336255133162
2020-04-13,"Черкаська",1,19,17.5925925925926,3235,7.596749953034
2020-04-13,"Чернівецька",29,140,25.5941499085923,2072,4.93145468392993
2020-04-13,"Чернігівська",0,0,0,892,2.82019665496854
2020-04-14,"Вінницька",7,97,40.0826446280992,1991,8.27136388184953
2020-04-14,"Волинська",3,38,41.304347826087,2481,7.18401621543362
2020-04-14,"Дніпропетровська",0,2,2.53164556962025,1162,1.8564672801636
2020-04-14,"Житомирська",10,24,17.910447761194,1850,4.43996448028416
2020-04-14,"Закарпатська",6,21,18.9189189189189,2249,7.68494788997096
2020-04-14,"Запорізька",1,14,12.7272727272727,3540,5.94298761038176
2020-04-14,"Івано-Франківська",13,101,23.4338747099768,2079,4.65986775748067
